sport,player1,player2
basketball,Michael Jordan,LeBron James
tennis,Roger Federer,Rafael Nadal
cricket,Michael Vaughan,Sourav Ganguly
soccer,Lionel Messi,Cristiano Ronaldo
golf,Tiger Woods,Phil Mickelson
baseball,Babe Ruth,Hank Aaron
hockey,Wayne Gretzky,Mario Lemieux
boxing,Muhammad Ali,Mike Tyson
swimming,Michael Phelps,Ryan Lochte
athletics,Usain Bolt,Carl Lewis
american football,Tom Brady,Peyton Manning
rugby,Jonah Lomu,Richie McCaw
cycling,Lance Armstrong,Eddy Merckx
formula 1,Michael Schumacher,Lewis Hamilton
skiing,Lindsey Vonn,Mikaela Shiffrin
gymnastics,Simone Biles,Nadia Comaneci
figure skating,Yuzuru Hanyu,Evgeni Plushenko
badminton,Lin Dan,Lee Chong Wei
volleyball,Karch Kiraly,Giba
surfing,Kelly Slater,Andy Irons
wrestling,Hulk Hogan,The Rock
table tennis,Ma Long,Zhang Jike
chess,Garry Kasparov,Magnus Carlsen